#,title,author,rating,author gender,author race,lgbtq+?,genre,type,notes
1,miss penegrine's home for peculiar children,ransom riggs,2,m,w,n,fantasy,,
2,they both die at the end,adam silvera,4,m,h,y,"contemporary, sci-fi",,
3,secrets for the mad,dodie clark,4,f,w,y,memoir,memoir,
4,monstress: awakening,marjorie liu,4,f,a,n,fantasy,graphic novel,
5,at the edge fo the universe,shaun david hutchinson,5,m,w,y,sci-fi,,
6,the intuitionist,colson whitehead,n/a,m,b,n,sci-fi,,for school
7,forest of a thousand lanterns,julie c. dao,4,f,a,n,fantasy,,
8,macbeth,william shakespeare,n/a,m,w,n,classic,play,for school
9,oscar et la dame rose,eric-emmanuel schmitt,n/a,m,w,n,fiction,,for school
10,sisters grimm: the fairy-tale detectives,michael buckley,n/a,m,w,n,fantasy,,reread
11,graceling,kristin cashore,4,f,w,n,fantasy,,
12,graceling: fire,kristin cashore,4,f,w,n,fantasy,,
13,i'll be gone in the dark,michelle mcnamara,4,f,w,n,true crime,,
14,leah on the offbeat,becky albertalli,2,f,w,y,contemporary,,
15,the tales of dunk and egg: the hedge knight,george r. r. martin,4,m,w,n,fantasy,,
16,the tales of dunk and egg: the sworn sword,george r. r. martin,4,m,w,n,fantasy,,
17,the tales of dunk and egg: the mystery knight,george r. r. martin,4,m,w,n,fantasy,,
18,the invention of wings,sue monk kidd,4,f,w,n,historical,,for school
19,how to write good,ryan higa,4,m,a,n,memoir,memoir,
20,american housewife: stories,helen ellis,2,f,w,n,"fiction, short stories",,
21,every heart a doorway,seanan mcguire,4,f,w,y,fantasy,,
22,the one and only ivan,katherine applegate,5,f,w,n,"fiction, poetry",,reread
23,harry potter and the sorcerer's stone,j. k. rowling,5,f,w,n,fantasy,,reread
24,harry potter and the chamber of secrets,j. k. rowling,5,f,w,n,fantasy,,reread
25,harry potter and the prisoner of azkaban,j. k. rowling,5,f,w,n,fantasy,,reread
26,harry potter and the goblet of fire,j. k. rowling,5,f,w,n,fantasy,,reread
27,the crucible,arthur miller,2,m,w,n,historical,play,for school
28,milk and honey,rupi kaur,1,f,a,n,poetry,poetry,
29,the great gatsby,f. scott fitzgerald,1,m,w,n,classic,,for school
30,mask of shadows,linsey miller,3,f,w,y,fantasy,,
31,ms. marvel vol. 1: no normal,g. willow wilson,3,f,m,n,"sci-fi/fantasy, superhero",comic,
32,a study in honor,claire o'dell,3,f,b,y,mystery,,
33,queens of geek,jen wilde,4,f,w,y,contemporary,,
34,running with lions,julian winters,3,m,b,y,contemporary,,
35,atla: north and south pt. 1,michael dante dimartino,n/a,m,w,n,fantasy,comic,
36,atla: north and south pt. 2,michael dante dimartino,n/a,m,w,n,fantasy,comic,
37,atla: north and south pt. 3,michael dante dimartino,n/a,m,w,n,fantasy,comic,
38,radio silence,alice oseman,4,f,w,y,contemporary,,
39,a monster calls,patrick ness,4,m,w,n,"fantasy, fiction",,
40,"the lion, the witch and the wardrobe",c. s. lewis,3,m,w,n,"fantasy, classic",,
41,legend of korra: turf wars pt. 1,michael dante dimartino,4,m,w,n,fantasy,comic,
42,legend of korra: turf wars pt. 2,michael dante dimartino,4,m,w,n,fantasy,comic,
43,legend of korra: turf wars pt. 3,michael dante dimartino,5,m,w,n,fantasy,comic,
44,the seven husbands of evelyn hugo,taylor jenkins reid,4,f,w,y,historical,,
,,,,,,,,,
,STATS,,,,,,,,
,books read,44,,,,,,,
,rating,6 x 5 stars (14%),15 x 4 stars (35%),5 x 3 stars (11%),3 x 2 stars (7%),2 x 1 stars (5%),7 no rating (16%),"avg rating:
3.1 stars",
,author gender,23 female (52%),21 male (48%),,,,,,
,author race,35 white (80%),5 asian (11%),3 black (7%),1 hispanic (2%),,,,
,lgbtq+,11 (25%),,,,,,,
