#,title,author,rating,author gender,author race,lgbtq+?,genre,type,notes
1,we are okay,nina lacour,3.5,f,w,y,contemporary,,
2,we were liars,e. lockhart,1,f,w,n,contemporary,,
3,one of us is lying,karen m. mcmanus,3,f,w,y,mystery/thriller,,
4,sadie,courtney summers,5,f,w,y,mystery/thriller,,
5,nimona,noelle stevenson,5,f,w,y,fantasy,graphic novel,
6,sharp objects,gillian flynn,3,f,w,n,thriller,,
7,guts,chuck palahniuk,n/a,m,w,n,horror,short story,
8,maybe in another life,taylor jenkins reid,3,f,w,n,"romance, contemporary",,
9,song of solomon,toni morrison,n/a,f,b,n,historical,,for school
10,an anonymous girl,"greer hendricks, sarah pekkanen",3,f,w,n,thriller,,
11,l'etranger,albert camus,n/a,m,w,n,"classic, existential??",,for school
12,the awakening,kate chopin,3.5,f,w,n,classic,,for school
13,the laramie project,moises kaufman,n/a,m,h,y,nonfiction,play,for school
14,reign of the fallen,sarah glenn marsh,2,f,w,y,fantasy,,
15,renegades,marissa meyer,3,f,w,n,"sci-fi/fantasy, superhero",,
16,so much i want to tell you,anna akana,4,f,a,n,memoir,memoir,
17,archenemies,marissa meyer,3,f,w,n,sci-fi/fantasy. superhero,,
18,no exit,taylor adams,4,m,w,n,thriller,,
19,i believe in a thing called love,maurene goo,3,f,a,n,"romance, contemporary",,
20,the wife between us,"greer hendricks, sarah pekkanen",3,f,w,n,mystery/thriller,,
21,strange weather,joe hill,2,m,w,n,???,dnf,
22,black boy,richard wright,n/a,m,b,n,historical,,for school
23,inventing the truth,,n/a,,,,"nonfiction, how-to",,for school
24,lock every door,riley sager,3.5,m,w,n,thriller,,
25,supernova,marissa meyer,3.5,f,w,n,"sci-fi/fantasy, superhero",,
26,the diviners,libba bray,3,f,w,n,"fantasy, historical",,
,,,,,,,,,
,STATS,,,,,,,,
,books read,26,,,,,,,
,rating,3 x 5 stars (12%),4 x 4 stars (15%),10 x 3 stars (38%),2 x 2 stars (8%),1 x 1 star (4%),6 no rating (23%),"avg rating:
3.3 stars",
,author gender,18 female (69%),7 male (27%),1 multiple authors (4%),,,,,
,author race,20 white (77%),2 asian (8%),2 black (8%),1 hispanic (4%),1 multiple authors (4%),,,
,lgbtq+,6 (23%),,,,,,,
