Title,Author,My Rating,Average Rating,Number of Pages,Original Publication Year,Date Read,race,of-color,gender,non-male,sexuality,non-straight,international,disabled,overall rating
Persephone Station,Stina Leicht,3,3.48,512,2021,11/26/21,white,0,female,1,straight,0,0,0,1
"The Last Graduate (The Scholomance, #2)",Naomi Novik,4,4.41,400,2021,11/26/21,white,0,female,1,straight,0,0,0,1
Writers & Lovers,Lily King,5,4.07,336,2020,2/8/21,white,0,female,1,straight,0,0,0,1
The Chosen and the Beautiful,Nghi Vo,5,3.66,260,2021,11/22/21,asian,1,female,1,queer,1,0,0,3
The Push,Ashley Audrain,3,4.12,307,2021,11/21/21,white,0,female,1,straight,0,0,0,1
"The Heart Principle (The Kiss Quotient, #3)",Helen Hoang,5,4.1,339,2021,11/21/21,asian,1,female,1,straight,0,0,1,3
"Neon Gods (Dark Olympus, #1)",Katee Robert,1,3.79,380,2021,11/21/21,white,0,female,1,straight,0,0,0,1
So You Want to Talk About Race,Ijeoma Oluo,4,4.49,248,2018,11/13/21,black,1,female,1,straight,0,0,0,2
"The Wisteria Society of Lady Scoundrels (Dangerous Damsels, #1)",India Holton,3,3.78,336,2021,11/13/21,white,0,female,1,straight,0,0,0,1
Mouthful of Birds,Samanta Schweblin,3,3.76,240,2009,11/13/21,latinx,1,female,1,straight,0,1,0,3
Carmilla,J. Sheridan Le Fanu,2,3.82,108,1872,11/13/21,white,0,male,0,straight,0,0,0,0
Boy Swallows Universe,Trent Dalton,2,4.37,453,2018,11/13/21,white,0,male,0,straight,0,0,0,0
The Charm Offensive,Alison Cochrun,3,4.35,368,2021,11/6/21,white,0,female,1,queer,1,0,0,2
The Farm,Joanne Ramos,4,3.5,327,2019,11/1/21,asian,1,female,1,straight,0,1,0,3
The Alice Network,Kate Quinn,3,4.28,503,2017,11/2/21,white,0,female,1,straight,0,0,0,1
The Love Hypothesis,Ali Hazelwood,4,4.46,352,2021,11/2/21,white,0,female,1,straight,0,0,0,1
"The Rosewater Redemption (The Wormwood Trilogy, #3)",Tade Thompson,4,4.08,416,2019,8/27/21,black,1,male,0,straight,0,1,0,2
