Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
56732449,The Love Hypothesis,Ali Hazelwood,"Hazelwood, Ali",,"=""0593336828""","=""9780593336823""",0,4.47,Berkley Books,Paperback,352,2021,2021,,2021/10/06,"to-read, contemporary","to-read (#217), contemporary (#24)",to-read,,,,0,,,0,,,,,
6088007,"Neuromancer (Sprawl, #1)",William Gibson,"Gibson, William",,"=""""","=""""",0,3.90,Ace,Kindle Edition,292,2000,1984,2021/09/22,2021/08/29,"for-school, read-in-2021","for-school (#46), read-in-2021 (#17)",read,,,,1,,,0,,,,,
34860402,"Leia: Princess of Alderaan (Journey to Star Wars: The Last Jedi, #3)",Claudia Gray,"Gray, Claudia",,"=""1484780787""","=""9781484780787""",0,4.14,Disney Lucasfilm Press,Hardcover,409,2017,2017,,2021/09/01,"to-read, movie-books","to-read (#216), movie-books (#3)",to-read,,,,0,,,0,,,,,
54860443,One Last Stop,Casey McQuiston,"McQuiston, Casey",,"=""1250244498""","=""9781250244499""",0,4.15,St. Martin's Griffin,Paperback,422,2021,2021,,2021/08/11,"asian-rep, contemporary, lgbtq-rep, currently-reading","asian-rep (#7), contemporary (#23), lgbtq-rep (#28), currently-reading (#1)",currently-reading,,,,1,,,0,,,,,
55336323,You Will Get Through This Night,Daniel  Howell,"Howell, Daniel",,"=""0008407487""","=""9780008407483""",0,4.34,HQ,Hardcover,320,2021,2021,,2020/09/14,"tbr-2021-releases, to-read, dnf-for-now","tbr-2021-releases (#3), to-read (#215), dnf-for-now (#5)",to-read,,,,0,,,0,,,,,
9547888,Attached: The New Science of Adult Attachment and How It Can Help You Find—and Keep—Love,Amir Levine,"Levine, Amir",Rachel S.F. Heller,"=""1585428485""","=""9781585428489""",0,4.13,Tarcher,Hardcover,304,2010,2010,,2021/07/30,"to-read, nonfiction","to-read (#214), nonfiction (#9)",to-read,,,,0,,,0,,,,,
50892240,They Never Learn,Layne Fargo,"Fargo, Layne",,"=""1982132027""","=""9781982132026""",0,4.01,Gallery/Scout Press,Hardcover,378,2020,2020,,2021/07/27,"to-read, horror-thriller, mysteries, tbr-2020-releases","to-read (#213), horror-thriller (#28), mysteries (#17), tbr-2020-releases (#6)",to-read,,,,0,,,0,,,,,
50056075,"The Heart Principle (The Kiss Quotient, #3)",Helen Hoang,"Hoang, Helen",,"=""0451490843""","=""9780451490841""",0,4.13,Berkley,Paperback,352,2021,2021,,2021/07/27,"to-read, tbr-2021-releases","to-read (#212), tbr-2021-releases (#5)",to-read,,,,0,,,0,,,,,
55315487,The Plot,Jean Hanff Korelitz,"Korelitz, Jean Hanff",,"=""125079076X""","=""9781250790767""",0,3.92,Celadon Books,Hardcover,336,2021,2021,,2021/07/15,"to-read, horror-thriller, judging-a-book-by-its-cover","to-read (#211), horror-thriller (#27), judging-a-book-by-its-cover (#45)",to-read,,,,0,,,0,,,,,
42505366,Wilder Girls,Rory Power,"Power, Rory",,"=""0525645586""","=""9780525645580""",0,3.51,Delacorte Press,Hardcover,357,2019,2019,,2019/07/13,dnf,dnf (#5),dnf,"i read one chapter before realizing i didn't rly care ab the plot and was only reading it bc of the cover and sapphic-ness. so maybe i'll read it in the future but for now, nah.",,,0,,,0,,,,,
